Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W201658081384101,450,Chhattisgarh,Kanker,Sarana (Narharpur),Murpar,20.28,81.64,7.0,410.0,0.0,195.0,35.0,11.0,6.0,0.0,150.0,52.0,5.0,28.0,1.0,1.0,21.0,,0.0
W195130081381501,451,Chhattisgarh,Bastar,Baderajpur,Pharasgaon,19.86,81.64,7.0,265.0,0.0,122.0,64.0,0.0,19.0,0.0,110.0,24.0,12.0,15.0,2.0,0.0,29.0,,0.0
W193435081400101,452,Chhattisgarh,Bastar,Kondagaon,Massaukokada,19.92,81.62,8.0,263.0,0.0,116.0,21.0,0.0,32.0,0.0,90.0,28.0,5.0,22.0,1.0,0.0,23.0,,0.0
W194839081383801,453,Chhattisgarh,Bastar,Kondagaon,Borgaon,19.82,81.64,7.0,400.0,0.0,98.0,71.0,10.0,32.0,0.0,160.0,48.0,10.0,23.0,1.0,0.0,16.0,,0.0
W194654081393904,454,Chhattisgarh,Kondagaon,Pharasgaon,Kulhadhgaon,19.78,81.66,7.0,261.0,0.0,146.0,14.0,0.0,0.0,0.0,110.0,32.0,7.0,14.0,2.0,0.0,14.0,,0.0
W194315081391502,455,Chhattisgarh,Bastar,Pharasgaon,Lanjora,19.72,81.65,7.0,1385.0,0.0,390.0,255.0,20.0,0.0,0.0,620.0,20.0,65.0,39.0,1.0,0.0,25.0,,0.0
W194025081403501,456,Chhattisgarh,Bastar,Pharasgaon,Jaitpuri,19.68,81.66,7.0,285.0,0.0,134.0,28.0,10.0,15.0,0.0,110.0,36.0,5.0,18.0,3.0,0.0,18.0,,0.0
W193500081400001,457,Chhattisgarh,Kondagaon,Kondagaon,Kondagaon,19.6,81.67,8.0,562.0,0.0,195.0,64.0,5.0,39.0,0.0,200.0,56.0,14.0,28.0,2.0,0.0,16.0,,0.0
W193436081395404,458,Chhattisgarh,Bastar,Kondagaon,Chikalphuti,19.58,81.67,8.0,340.0,0.0,183.0,21.0,0.0,11.0,0.0,150.0,32.0,17.0,16.0,2.0,0.0,14.0,,0.0
W192810081432001,459,Chhattisgarh,Bastar,Kondagaon,Dahikonga,19.47,81.72,7.0,279.0,0.0,134.0,28.0,0.0,14.0,0.0,115.0,32.0,8.0,12.0,1.0,0.0,13.0,,0.0
